,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
72,2887700,11/1/2019,2019,November,1,Friday,18,52,Elizabeth St-Lonsdale St (South),806,Elizabeth St-Lonsdale St (South),Eli263_T,7/31/2017,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
73,2887701,11/1/2019,2019,November,1,Friday,18,54,Lincoln-Swanston(West),178,Lincoln-Swanston (West),Swa607_T,6/26/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
74,2887702,11/1/2019,2019,November,1,Friday,18,55,Elizabeth St-La Trobe St (East),"1,972",Elizabeth St-La Trobe St (East),Eli380_T,7/19/2018,A,,North,South,-37.80988941,144.9613433,"(-37.80988941, 144.96134331)"
75,2887703,11/1/2019,2019,November,1,Friday,18,56,Lonsdale St - Elizabeth St (North),598,Lonsdale St - Elizabeth St (North),Lon364_T,7/25/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
76,2887704,11/1/2019,2019,November,1,Friday,18,57,Bourke St Bridge,870,Bourke St Bridge,BouBri_T,8/13/2018,A,,West,East,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
77,2887705,11/1/2019,2019,November,1,Friday,18,58,Bourke St - Spencer St (North),"1,499",Bourke St - Spencer St (North),Bou688_T,9/27/2018,A,,West,East,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
78,2887706,11/1/2019,2019,November,1,Friday,18,59,Swanston St - RMIT Building 80,396,Building 80 RMIT,RMIT_T,2/13/2019,A,,North,South,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
79,2887707,11/1/2019,2019,November,1,Friday,18,61,Swanston St - RMIT Building 14,"1,080",RMIT Building 14,RMIT14_T,6/28/2019,A,,North,South,-37.80767455,144.9630912,"(-37.80767455, 144.96309115)"
80,2887708,11/1/2019,2019,November,1,Friday,18,62,La Trobe St (North),262,La Trobe St (North),Lat224_T,9/25/2019,A,,East,West,-37.80996494,144.9621652,"(-37.80996494, 144.96216521)"
81,2887709,11/1/2019,2019,November,1,Friday,19,4,Town Hall (West),"2,345",Town Hall (West),Swa123_T,3/23/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
82,2887710,11/1/2019,2019,November,1,Friday,19,17,Collins Place (South),367,Collins Place (South),Col15_T,3/30/2009,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
83,2887711,11/1/2019,2019,November,1,Friday,19,18,Collins Place (North),294,Collins Place (North),Col12_T,3/30/2009,A,,East,West,-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
84,2887712,11/1/2019,2019,November,1,Friday,19,53,Collins St (North),784,Collins Street (North),Col254_T,9/23/2015,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
85,2887713,11/1/2019,2019,November,1,Friday,19,2,Bourke Street Mall (South),"1,639",Bourke Street Mall (South),Bou283_T,3/30/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
86,2887714,11/1/2019,2019,November,1,Friday,19,1,Bourke Street Mall (North),"2,533",Bourke Street Mall (North),Bou292_T,3/24/2009,A,,West,East,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
87,2887715,11/1/2019,2019,November,1,Friday,19,3,Melbourne Central,"2,512",Melbourne Central,Swa295_T,3/25/2009,A,,North,South,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
88,2887716,11/1/2019,2019,November,1,Friday,19,15,State Library,"1,562",State Library,QV_T,3/25/2009,R,,South,North,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
89,2887717,11/1/2019,2019,November,1,Friday,19,9,Southern Cross Station,522,Southern Cross Station,Col700_T,3/23/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
90,2887718,11/1/2019,2019,November,1,Friday,19,10,Victoria Point,126,Victoria Point,BouHbr_T,4/23/2009,A,,West,East,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
91,2887719,11/1/2019,2019,November,1,Friday,19,12,New Quay,385,New Quay,NewQ_T,1/21/2009,A,,West,East,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
