,ID,Date_Time,Year,Month,Mdate,Day,Time,sensor_id,Sensor_Name,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
120,1683118,11,2016,November,21,Monday,3,10,Victoria Point,4,Victoria Point,BouHbr_T,2009/04/23,A,,West,East,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
121,1683119,11,2016,November,21,Monday,3,11,Waterfront City,2,Waterfront City,WatCit_T,2009/01/20,A,,East,West,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
122,1683120,11,2016,November,21,Monday,3,12,New Quay,6,New Quay,NewQ_T,2009/01/21,A,,West,East,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
123,1683121,11,2016,November,21,Monday,3,13,Flagstaff Station,12,Flagstaff Station,Wil277_T,2009/03/24,R,,,,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)"
124,1683122,11,2016,November,21,Monday,3,14,Sandridge Bridge,16,Sandridge Bridge,SanBri_T,2019/09/25,A,,North,South,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
125,1683123,11,2016,November,21,Monday,3,15,State Library,27,State Library,QV_T,2009/03/25,R,,South,North,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
126,1683124,11,2016,November,21,Monday,3,17,Collins Place (South),0,Collins Place (South),Col15_T,2009/03/30,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
127,1683125,11,2016,November,21,Monday,3,18,Collins Place (North),0,Collins Place (North),Col12_T,2009/03/30,A,,East,West,-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
128,1683126,11,2016,November,21,Monday,3,19,Chinatown-Swanston St (North),38,Chinatown-Swanston St (North),LtB210_T,2013/09/02,A,,East,West,-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
129,1683127,11,2016,November,21,Monday,3,20,Chinatown-Lt Bourke St (South),24,Chinatown-Lt Bourke St (South),LtB170_T,2013/09/06,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
130,1683128,11,2016,November,21,Monday,3,21,Bourke St-Russell St (West),180,Bourke St-Russell St (West),Rus180_T,2013/09/02,A,,South,North,-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
131,1683129,11,2016,November,21,Monday,3,24,Spencer St-Collins St (North),9,Spencer St-Collins St (North),Col620_T,2013/09/02,A,,East,West,-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
132,1683130,11,2016,November,21,Monday,3,25,Melbourne Convention Exhibition Centre,11,Melbourne Convention Exhibition Centre,MCEC_T,2019/10/02,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
133,1683131,11,2016,November,21,Monday,3,26,QV Market-Elizabeth St (West),36,QV Market-Elizabeth St (West),Eli483_T,2013/09/28,A,,South,North,-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
