,Unnamed: 0,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
68,68,2887696,2019-11-01,2019,November,1,Friday,18,48,QVM-Queen St (East),273,QVM-Queen St (East),QVMQ_T,2017/10/02,A,,East,West,-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
69,69,2887697,2019-11-01,2019,November,1,Friday,18,49,QVM-Therry St (South),150,QVM-Therry St (South),Eli501_T,2017/11/29,A,,West,East,-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
70,70,2887698,2019-11-01,2019,November,1,Friday,18,50,Faraday St-Lygon St (West),624,Faraday St-Lygon St (West),Lyg309_T,2017/11/30,A,,North,South,-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
71,71,2887699,2019-11-01,2019,November,1,Friday,18,51,QVM-Franklin St (North),181,QVM-Franklin St (North),Fra118_T,2017/11/30,A,,West,East,-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
72,72,2887700,2019-11-01,2019,November,1,Friday,18,52,Elizabeth St-Lonsdale St (South),806,Elizabeth St-Lonsdale St (South),Eli263_T,2017/07/31,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
73,73,2887701,2019-11-01,2019,November,1,Friday,18,54,Lincoln-Swanston(West),178,Lincoln-Swanston (West),Swa607_T,2018/06/26,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
74,74,2887702,2019-11-01,2019,November,1,Friday,18,55,Elizabeth St-La Trobe St (East),1972,Elizabeth St-La Trobe St (East),Eli380_T,2018/07/19,A,,North,South,-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
75,75,2887703,2019-11-01,2019,November,1,Friday,18,56,Lonsdale St - Elizabeth St (North),598,Lonsdale St - Elizabeth St (North),Lon364_T,2018/07/25,A,,East,West,-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
76,76,2887704,2019-11-01,2019,November,1,Friday,18,57,Bourke St Bridge,870,Bourke St Bridge,BouBri_T,2018/08/13,A,,West,East,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
77,77,2887705,2019-11-01,2019,November,1,Friday,18,58,Bourke St - Spencer St (North),1499,Bourke St - Spencer St (North),Bou688_T,2018/09/27,A,,West,East,-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
78,78,2887706,2019-11-01,2019,November,1,Friday,18,59,Swanston St - RMIT Building 80,396,Building 80 RMIT,RMIT_T,2019/02/13,A,,North,South,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
79,79,2887707,2019-11-01,2019,November,1,Friday,18,61,Swanston St - RMIT Building 14,1080,RMIT Building 14,RMIT14_T,2019/06/28,A,,North,South,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
80,80,2887708,2019-11-01,2019,November,1,Friday,18,62,La Trobe St (North),262,La Trobe St (North),Lat224_T,2019/09/25,A,,East,West,-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
81,81,2887709,2019-11-01,2019,November,1,Friday,19,4,Town Hall (West),2345,Town Hall (West),Swa123_T,2009/03/23,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
82,82,2887710,2019-11-01,2019,November,1,Friday,19,17,Collins Place (South),367,Collins Place (South),Col15_T,2009/03/30,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
83,83,2887711,2019-11-01,2019,November,1,Friday,19,18,Collins Place (North),294,Collins Place (North),Col12_T,2009/03/30,A,,East,West,-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
84,84,2887712,2019-11-01,2019,November,1,Friday,19,53,Collins St (North),784,Collins Street (North),Col254_T,2015/09/23,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
85,85,2887713,2019-11-01,2019,November,1,Friday,19,2,Bourke Street Mall (South),1639,Bourke Street Mall (South),Bou283_T,2009/03/30,A,,East,West,-37.81380667,144.96516719,"(-37.81380667, 144.96516719)"
86,86,2887714,2019-11-01,2019,November,1,Friday,19,1,Bourke Street Mall (North),2533,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,West,East,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
87,87,2887715,2019-11-01,2019,November,1,Friday,19,3,Melbourne Central,2512,Melbourne Central,Swa295_T,2009/03/25,A,,North,South,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)"
88,88,2887716,2019-11-01,2019,November,1,Friday,19,15,State Library,1562,State Library,QV_T,2009/03/25,R,,South,North,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
89,89,2887717,2019-11-01,2019,November,1,Friday,19,9,Southern Cross Station,522,Southern Cross Station,Col700_T,2009/03/23,A,,East,West,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
